Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
I'm Yours,"Koosen,Avocuddle,Fets",I'm Yours,119811,False,67,11,1,4,0.842,0.627,0.15,0.882,0.121,-15.166,0.0614,0.288,80.013,LOFIBEATS
Dark Wood,Justnormal,Seasonal Expression,129344,False,58,6,1,4,0.822,0.724,0.24,0.415,0.115,-13.317,0.275,0.461,173.945,LOFIBEATS
Hawaii,Ahe Bane,Hawaii,171000,False,60,11,0,4,0.89,0.816,0.34,0.894,0.266,-9.118,0.224,0.15,79.979,LOFIBEATS
Hope,"w00ds,SEA",Hope,156666,False,58,0,0,4,0.855,0.539,0.361,0.925,0.109,-13.126,0.0385,0.0738,149.984,LOFIBEATS
Sweet Hangover,"Peter Kind,Platinum Dust",Sweet Hangover,112714,False,57,1,0,4,0.418,0.742,0.334,0.0193,0.105,-9.704,0.068,0.615,80.008,LOFIBEATS
Float,SPEECHLESS,Float,138677,False,57,11,1,4,0.97,0.661,0.416,0.878,0.0856,-10.504,0.755,0.374,78.031,LOFIBEATS
Tracy,Pontiac Puma,Tracy,122666,False,58,2,1,4,0.714,0.704,0.245,0.717,0.147,-12.954,0.216,0.19,90.156,LOFIBEATS
UP TO U,twuan,UP TO U,115000,False,57,7,1,4,0.741,0.729,0.432,0.000719,0.143,-16.246,0.177,0.448,83.312,LOFIBEATS
Go off the Deep End,Utopiaboy,Sense,152000,False,55,4,1,4,0.21,0.531,0.256,9.87e-05,0.101,-14.345,0.0459,0.347,180.009,LOFIBEATS
Better Together,"Koosen,Green Bull,Fets",Better Together,109388,False,62,5,1,4,0.964,0.63,0.312,0.935,0.119,-13.868,0.032,0.0716,89.98,LOFIBEATS
Wish We Could Stay Like This Forever,ocha,Haven 2,168000,False,44,4,1,4,0.741,0.658,0.335,0.872,0.133,-14.835,0.218,0.466,79.895,LOFIBEATS
distance,"Rook1e,ozoyo",distance,81596,False,55,7,1,4,0.926,0.359,0.36,0.917,0.152,-11.751,0.0903,0.0725,78.18,LOFIBEATS
Raw Quartet,"Cookin Soul,FloFilz",Raw Quartet,182857,False,60,7,1,4,0.163,0.661,0.47,0.329,0.192,-5.195,0.0917,0.339,84.024,LOFIBEATS
Backpack City,"Flovry,tender spring",Ages Ago,151731,False,66,4,1,4,0.879,0.666,0.197,0.881,0.109,-15.365,0.0692,0.12,77.079,LOFIBEATS
Sleepy Night,"Green Bull,Sea Flap Flap,Poky",Sleepy Night,106500,False,58,5,0,4,0.429,0.915,0.483,0.586,0.127,-13.294,0.154,0.234,99.972,LOFIBEATS
I Don't Care,aesvec.,I Don't Care,121510,False,57,0,0,4,0.665,0.71,0.193,0.846,0.115,-16.519,0.0747,0.152,80.062,LOFIBEATS
al pasito/timeless,n o r m a l,al pasito timeless,190457,False,56,6,0,4,0.659,0.576,0.193,0.473,0.154,-18.66,0.865,0.858,86.01,LOFIBEATS
minas gerais,Pelicano,Urbanscape,121041,False,44,0,1,4,0.888,0.632,0.28,0.938,0.38,-17.006,0.067,0.485,142.006,LOFIBEATS
Tiger Park,"Lo'fi Boy,BVG",Tiger Park,185695,False,55,11,1,4,0.321,0.621,0.347,0.944,0.319,-15.032,0.0793,0.804,87.918,LOFIBEATS
Lasagne,Wun Two,Lasagne,106489,False,61,6,0,4,0.482,0.55,0.441,0.734,0.17,-12.384,0.144,0.963,145.886,LOFIBEATS
lost school stuff,"pucca,Emperose",lost school stuff,141818,False,59,11,0,4,0.697,0.638,0.548,0.892,0.101,-8.335,0.0327,0.445,132.055,LOFIBEATS
Going Home,"Dualizm,Grmmr.126",Going Home,144000,False,38,1,1,4,0.843,0.746,0.314,0.927,0.0814,-11.632,0.0518,0.334,85.038,LOFIBEATS
Understanding,"Enluv,E I S U",Understanding,108607,False,52,10,0,4,0.656,0.68,0.398,0.848,0.0931,-13.87,0.056,0.396,79.046,LOFIBEATS
Roots,Kupla,Kingdom in Blue,138947,False,66,9,0,4,0.35,0.812,0.403,0.447,0.106,-8.448,0.232,0.382,75.89,LOFIBEATS
While You Doooo,Teebs,Ardour,91010,False,49,10,0,4,0.268,0.829,0.9,0.689,0.131,-6.575,0.238,0.684,93.764,LOFIBEATS
Night Ride,Magic Mondays,Night Ride,121341,True,44,1,1,4,0.352,0.55,0.375,0.864,0.115,-14.722,0.0734,0.305,79.992,LOFIBEATS
we'll stay inside when it rains,"Rook1e,.ihaveaface",we'll stay inside when it rains,130585,False,59,9,1,4,0.592,0.7,0.134,0.845,0.107,-17.898,0.0771,0.435,160.033,LOFIBEATS
Tea & Paper,"Sitting Duck,Hoffy Beats,Bagira",Tea & Paper,133670,False,49,6,0,4,0.868,0.55,0.291,0.958,0.103,-19.609,0.0524,0.108,79.012,LOFIBEATS
Flashlight,"Made in M,Smuv",Flashlight,102162,False,51,8,0,4,0.827,0.728,0.115,0.882,0.0875,-13.056,0.324,0.7,148.204,LOFIBEATS
Resolution,Sense,Resolution,167560,False,58,4,1,4,0.749,0.654,0.42,0.667,0.103,-11.375,0.0683,0.138,82.026,LOFIBEATS
Mixed Feelings,"Dontcry,Glimlip",Mixed Feelings,103430,False,57,9,1,4,0.187,0.786,0.37,0.874,0.355,-10.17,0.183,0.423,86.02,LOFIBEATS
Long Way Home,".Sinh,Cantsleep,Massaman",Long Way Home,82962,False,56,8,1,4,0.632,0.711,0.242,0.742,0.0888,-13.298,0.259,0.625,81.009,LOFIBEATS
Autumn Leaves,"vensterbank,Poky,Sea Flap Flap",Autumn Leaves,154711,False,58,5,0,4,0.741,0.681,0.318,0.871,0.15,-18.012,0.0729,0.24,89.966,LOFIBEATS
Things Will Get Better... Eventually,Lo-Fi Eamonn,Things Will Get Better... Eventually,132750,False,51,2,1,4,0.556,0.813,0.33,0.892,0.891,-17.439,0.211,0.466,79.997,LOFIBEATS
Arabian Nights,Robin Slap,Arabian Nights,87000,False,54,5,0,4,0.595,0.784,0.249,0.881,0.182,-13.422,0.0864,0.151,79.97,LOFIBEATS
watashi,Houch,Rainy Bumps,75293,False,54,1,1,4,0.777,0.761,0.352,0.0796,0.113,-12.724,0.182,0.593,76.994,LOFIBEATS
