Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Mil Tequilas,Chema Rivas,Mil Tequilas,255450,False,8,1,1,4,0.226,0.698,0.77,0,0.0957,-3.937,0.132,0.288,100.102,EnElTrabajo
Cuando Éramos Dos,"Sinsinati,Álvaro De Luna",Cuando Éramos Dos,205059,False,67,6,0,4,0.135,0.56,0.589,0,0.109,-5.612,0.0419,0.712,100.04,EnElTrabajo
Quédate conmigo,"Pole.,Pilar Moxó",Quédate conmigo,216032,False,0,1,1,4,0.676,0.58,0.715,0,0.244,-4.735,0.0394,0.464,145.917,EnElTrabajo
Bailemos,Dani Fernández,Incendios,210468,False,66,1,1,4,0.0616,0.649,0.555,3.45e-06,0.0874,-4.655,0.0292,0.607,128.009,EnElTrabajo
El Manual,Anuel AA,Emmanuel,210623,False,77,0,1,4,0.35,0.843,0.845,0.00168,0.0527,-2.344,0.0503,0.898,126.989,EnElTrabajo
Carita de Inocente (feat. Myke Towers) - Remix,"Prince Royce,Myke Towers",Carita de Inocente (feat. Myke Towers) [Remix],192698,False,78,10,0,4,0.364,0.565,0.781,0,0.0984,-3.358,0.061,0.943,129.959,EnElTrabajo
Caramelo,Ozuna,Caramelo,217546,False,86,6,1,4,0.0531,0.728,0.806,0.000301,0.153,-3.766,0.0623,0.698,168.084,EnElTrabajo
Aún me amas,Beret,Aún me amas,220000,False,67,5,1,4,0.272,0.478,0.591,0,0.107,-7.278,0.0377,0.466,78.121,EnElTrabajo
TBT,"Sebastian Yatra,Rauw Alejandro,Manuel Turizo",TBT,239133,False,76,2,1,4,0.0362,0.794,0.855,0,0.142,-1.959,0.0466,0.639,91.963,EnElTrabajo
Soldadito de Hierro,Nil Moliner,Soldadito de Hierro,142964,False,59,9,1,4,0.87,0.716,0.344,0,0.0945,-7.528,0.14,0.412,81.86,EnElTrabajo
Pa toda la vida (feat. Mozart La Para),"Don Patricio,Mozart La Para",Pa toda la vida (feat. Mozart La Para),212330,False,68,2,1,4,0.218,0.692,0.639,3.91e-05,0.147,-5.336,0.228,0.511,98.461,EnElTrabajo
Favorito,Camilo,Favorito,211613,False,80,9,1,4,0.229,0.611,0.851,0,0.232,-2.982,0.0598,0.823,178.032,EnElTrabajo
Djadja (feat. Maluma) - Remix,"Aya Nakamura,Maluma",Djadja (feat. Maluma) [Remix],166850,False,84,5,1,4,0.175,0.791,0.682,0,0.0926,-7.328,0.158,0.672,98.031,EnElTrabajo
Mi Pequeño Chernóbil,Leiva,Mi Pequeño Chernóbil,260030,False,56,7,1,4,0.00538,0.509,0.669,0.00494,0.107,-7.763,0.0423,0.305,131.846,EnElTrabajo
Un Planeta Llamado Nosotros,Maldita Nerea,Un Planeta Llamado Nosotros,225920,False,0,10,1,4,0.176,0.659,0.544,0,0.0919,-7.053,0.0589,0.826,100.932,EnElTrabajo
Sueño (con Pablo Alborán),"Beret,Pablo Alborán",Prisma,185482,False,70,8,0,4,0.372,0.667,0.613,0,0.174,-5.604,0.0412,0.54,105.064,EnElTrabajo
Quiéreme Mientras Se Pueda,Manuel Turizo,Quiéreme Mientras Se Pueda,191945,False,85,4,1,4,0.447,0.793,0.782,0,0.124,-3.945,0.0582,0.81,143.86,EnElTrabajo
Mi Religión,Nil Moliner,Mi Religión,191379,False,63,5,1,4,0.267,0.851,0.729,1.21e-06,0.197,-5.046,0.0275,0.973,106.011,EnElTrabajo
Indios y Vaqueros,"Sinsinati,Álvaro De Luna",Indios y Vaqueros,184000,False,66,8,1,4,0.0607,0.606,0.797,0,0.366,-6.23,0.0702,0.851,100.015,EnElTrabajo
El Mismo Aire - con Pablo Alborán,"Camilo,Pablo Alborán",El Mismo Aire (con Pablo Alborán),188213,False,83,0,0,4,0.603,0.483,0.492,0,0.323,-6.591,0.295,0.66,144.511,EnElTrabajo
Relación,Sech,Relación,184254,False,47,7,0,4,0.125,0.805,0.562,4.96e-06,0.148,-3.117,0.105,0.767,172.094,EnElTrabajo
Bajo La Mesa,"Morat,Sebastian Yatra",Bajo La Mesa,157080,False,75,6,0,4,0.238,0.716,0.624,0,0.128,-5.398,0.0739,0.783,90.983,EnElTrabajo
+,"Aitana,Cali Y El Dandee",+,219367,False,74,8,1,4,0.106,0.561,0.666,0,0.123,-4.243,0.0322,0.675,160.019,EnElTrabajo
Si por mi fuera,Beret,Prisma,208824,False,63,2,1,4,0.0271,0.701,0.75,0,0.102,-5.717,0.0316,0.876,150.078,EnElTrabajo
"Quiero, Quiero y Quiero",Arnau Griso,"Quiero, Quiero y Quiero",205933,False,58,6,1,4,0.0993,0.771,0.748,0,0.105,-5.18,0.033,0.774,107.954,EnElTrabajo
Bailando,Nil Moliner,Bailando,213666,False,58,0,1,4,0.132,0.718,0.742,0,0.298,-5.761,0.0467,0.944,140.055,EnElTrabajo
Gentleman,Cepeda,Gentleman,221397,False,57,7,0,4,0.00437,0.606,0.921,0,0.111,-3.722,0.0327,0.77,108.011,EnElTrabajo
Hasta Que Dios Diga,"Anuel AA,Bad Bunny",Emmanuel,246000,True,85,8,1,4,0.464,0.691,0.765,3.29e-06,0.203,-4.727,0.111,0.855,174.021,EnElTrabajo
Me Vale,Miki Núñez,Me Vale,195538,False,63,9,1,4,0.00145,0.525,0.782,0,0.0778,-4.158,0.0619,0.738,159.926,EnElTrabajo
